,Author,Book,Filename,Year
7577,Jacob Gould Schurman,The Balkan Wars: 1912-1913,b'11676.txt',1912
9057,Frederick H. Martens,Violin Mastery,b'15535-0.txt',1919
1519,Charlotte Elizabeth,Kindness to Animals,b'17961.txt',1845
231,Samuel Pepys,"Diary of Samuel Pepys, June/July 1660",b'4122.txt',1660
8067,Various,Turkish Prisoners in Egypt,b'10589-8.txt',1914
1603,Thomas Babington Macaulay,The History of England from the Accession of James II.,b'25902.txt',1849
2130,Cecil B. Hartley,Life & Times of Col. Daniel Boone,b'14023-8.txt',1859
2402,William T. Sherman,"The Memoirs of General W. T. Sherman, Vol. II.",b'2617.txt',1864
8255,Richard le Gallienne,The Silk-Hat Soldier,b'19313.txt',1915
7755,Francis Lynde,The Honorable Senator Sage-Brush,b'16573-8.txt',1913
5279,August Strindberg,"Plays by August Strindberg, Second series",b'14347-8.txt',1899
9133,Mary Scharlieb and F. Arthur Sibly,Youth and Sex,b'13722-8.txt',1919
9358,Norval A. Hawkins,Certain Success,b'14589-8.txt',1920
1423,Various,"Punch, or the London Charivari, Vol. 1, October 16, 1841",b'14932-8.txt',1841
7848,Percy Lubbock,A Book of English Prose,b'19811-8.txt',1913
2207,Marie E. Zakrzewska,A Practical Illustration of Woman's Right to Labor,b'11270-8.txt',1860
3227,Walter Hubbell,The Haunted House,b'16975.txt',1879
5876,Arthur Cosslett Smith,"The Turquoise Cup, and, The Desert",b'10608-8.txt',1903
3020,Mark Twain (Samuel Clemens),"Following the Equator, Part 2",b'5809.txt',1876
4382,Various,"Punch, Or The London Charivari, Vol. 101. October 17, 1891",b'14053-8.txt',1891
732,Madame Campan,"The Memoirs of Marie Antoinette, Queen Of France, Volume 6",b'3889.txt',1791
10104,Rebecca Harding Davis,Life in the Iron-Mills,b'876.txt',1985
4090,Kate Douglas Wiggin,The Birds' Christmas Carol,b'721.txt',1889
8125,Arthur Pinero,The Big Drum,b'25984-8.txt',1915
9432,Various,"Punch, or the London Charivari, Vol. 159, November 17, 1920",b'19349-8.txt',1920
7239,L. Mühlbach,Queen Hortense,b'12019-8.txt',1910
6754,L. Frank Baum,The Enchanted Island of Yew,b'518.txt',1908
4609,Mrs. E. E. Kellogg,Science in the Kitchen.,b'12238-8.txt',1893
8486,Laura Lee Hope,Bunny Brown and His Sister Sue on Grandpa's Farm,b'19555.txt',1916
6567,George Ade,The Slim Princess,b'11279-8.txt',1907
2483,Thomas Houston,The Life of James Renwick,b'13781-8.txt',1865
8289,Various,Northern Nut Growers Association Report of the Proceedings at the,b'18288-8.txt',1915
4918,George Meredith,"Sandra Belloni, Complete",b'4420.txt',1896
28,Thomas Aquinas,"Summa Theologica, Part II-II (Secunda Secundae)",b'18755-8.txt',1485
7985,James R. Driscoll,The Brighton Boys with the Submarine Fleet,b'12939.txt',1914
2152,Various,"Atlantic Monthly, Volume 3, Issue 15, January, 1859",b'10695-8.txt',1859
9452,âAbduâl-BahÃ¡,Tablet to August Forel,b'19292-0.txt',1921
5148,A. T. Mahan,"The Interest of America in Sea Power, Present and Future",b'15749-8.txt',1898
8690,Laura Lee Hope,The Bobbsey Twins in a Great City,b'15169-8.txt',1917
4486,Various,"Punch, Or The London Charivari, Volume 102, Jan. 2, 1892",b'14199-8.txt',1892
9867,Josephine Lawrence,Rainbow Hill,b'26533.txt',1924
9510,Gordon Casserly,The Elephant God,b'14076-8.txt',1921
415,Aaron Hill,"'Of Genius', in The Occasional Paper, and Preface to The Creation",b'15870-8.txt',1719
513,Samuel Richardson,"Clarissa, Or The History Of A Young Lady, Volume 8",b'12180-8.txt',1741
3893,Bret Harte,The Crusade of the Excelsior,b'2471.txt',1887
4481,Stanley Waterloo,A Man and a Woman,b'16143.txt',1892
573,David Hume,"The History of England in Three Volumes, Vol.I., Part A.",b'19211-8.txt',1762
2765,Robert Hardley,A Project for Flying,b'11244-8.txt',1871
5671,Harold Avery,The Triple Alliance,b'10027.txt',1901
2508,BahÃ¡âuâllÃ¡h,The KitÃ¡b-i-ÃqÃ¡n,b'16983-0.txt',1866
8693,"Lehmer, Derrick Norman",An Elementary Course in Synthetic Projective Geometry,b'17001-0.txt',1917
5437,Beatrix Potter,The Tale of Johnny Town-Mouse,b'15284.txt',1900
4228,Various,"Punch, Or The London Charivari, Vol. 99., October 11, 1890",b'12467-8.txt',1890
6019,Various,"Harvard Psychological Studies, Volume 1",b'16266-8.txt',1903
7323,Chester K. Steele,The Mansion of Mystery,b'16204-8.txt',1911
5039,George Meredith,"Diana of the Crossways, Complete",b'4470.txt',1897
5864,Winifred Faraday,"The Edda, Vol. 1",b'13007-8.txt',1902
4012,Mabel Collins,Light On The Path and Through the Gates of Gold,b'14599-8.txt',1888
7645,Rose Macaulay,The Lee Shore,b'16612-8.txt',1912
9536,James Branch Cabell,Figures of Earth,b'11639-8.txt',1921
3235,William Makepeace Thackeray,The History of Samuel Titmarsh,b'1933.txt',1879
8604,Charles Neville Buck,The Tyranny of Weakness,b'21689-8.txt',1917
2278,Clement Moore,A Visit From Saint Nicholas,b'17382.txt',1862
324,Pedro Calderon de la Barca,The Two Lovers of Heaven: Chrysanthus and Daria,b'12173.txt',1670
5126,Various,"The Great Round World and What Is Going On In It, Vol. 1, No. 53, November 11, 1897",b'16176-8.txt',1897
1893,Emilie F. Carlén,The Home in the Valley,b'16422-8.txt',1854
9312,Henry Oyen,The Plunderer,b'19401-8.txt',1920
2865,R.M. Ballantyne,The Gorilla Hunters,b'21736.txt',1873
7601,Lascelles Abercrombie,Emblems Of Love,b'15472-8.txt',1912
9809,Peter Nielsen,The Black Man's Place in South Africa,b'14900-8.txt',1922
7447,Richard Wagner,Siegfried and The Twilight of the Gods,b'49507-8.txt',1911
4072,Grant Allen,Falling in Love,b'16807-8.txt',1889
480,Jonathan Swift,"The Prose Works of Jonathan Swift, D. D., Volume IX;",b'13169-8.txt',1726
4587,John Patrick Crichton Stuart Bute,Brendan's Fabulous Voyage,b'17343-8.txt',1893
383,Richard Hakluyt,"The Principal Navigations, Voyages, Traffiques,",b'10673-8.txt',1701
878,Lewis Goldsmith,"Memoirs of the Court of St. Cloud, Complete",b'3899.txt',1805
7463,United States War Department,"Infantry Drill Regulations, United States Army, 1911",b'20866-8.txt',1911
1130,Thomas Frognall Dibdin,"A Bibliographical, Antiquarian and Picturesque Tour in France and Germany, Volume Three",b'17624-8.txt',1829
4998,William Wordsworth,"The Poetical Works of William Wordsworth, Vol. III",b'12383-8.txt',1896
6202,Robert Hugh Benson,The King's Achievement,b'16375-8.txt',1904
1406,Miss Emma Roberts,Notes of an Overland Journey Through France and Egypt to Bombay,b'12064-8.txt',1841
7426,Margaret Burnham,The Girl Aviators' Sky Cruise,b'10954-8.txt',1911
1887,Bayard Taylor,"Beauty and The Beast, and Tales From Home",b'292.txt',1854
25,Dante Alighieri,"The Vision of Paradise, Part 3.",b'8798.txt',1484
4262,Andrew Lang,Angling Sketches,b'2022.txt',1891
9468,Booth Tarkington,Alice Adams,b'980.txt',1921
5792,Henry Seton Merriman,The Vultures,b'3805-8.txt',1902
7270,S. B. Banerjea,Tales of Bengal,b'10999-8.txt',1910
5,Dante Alighieri,The Banquet (Il Convito),b'12867-8.txt',1480
6756,L. Frank Baum.,Dorothy and the Wizard in Oz,b'420.txt',1908
7865,T. Everett Harré,The Eternal Maiden,b'16093-8.txt',1913
1955,Theodore Parker,The Trial of Theodore Parker,b'31298-8.txt',1855
9621,Various,Lists of Stories and Programs for Story Hours,b'17202-8.txt',1921
8574,Alice Duer Miller,Are Women People?,b'11689-8.txt',1917
135,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 17.",b'5919.txt',1615
4988,Various,"American Missionary - Volume 50, No. 3, March, 1896",b'21952-8.txt',1896
776,Erasmus Darwin,The Botanic Garden. Part II.,b'10671-8.txt',1798
6591,Joseph A. Altsheler,The Young Trailers,b'19477-8.txt',1907
952,Eugene Sue,"The Wandering Jew, Book IX.",b'3347.txt',1813
794,William Godwin,Memoirs of the Author of a Vindication of the Rights of Woman,b'16199-8.txt',1798
3937,O. Henry,The Gentle Grafter,b'1805-8.txt',1887
8040,Robert Shaler,The Boy Scouts of the Geological Survey,b'12945.txt',1914
2101,Mary J. Holmes,Maggie Miller,b'11280-8.txt',1858
1186,Gustave Droz,"Monsieur, Madame and Bebe, Complete",b'3926.txt',1832
9278,Edward Alexander Powell,The New Frontiers of Freedom from the Alps to the AEgean,b'17292.txt',1920
9551,Katherine Shortall,Where the Sabots Clatter Again,b'13048-8.txt',1921
483,Daniel Defoe,"The Life and Adventures of Robinson Crusoe Of York, Mariner, Vol. 1",b'11239-8.txt',1729
10073,Marion Zimmer Bradley,The Colors of Space,b'20796-8.txt',1963
5889,by Marshall Saunders,Beautiful Joe,b'10226.txt',1903
8813,William MacLeod Raine,The Yukon Trail,b'19527-8.txt',1917
7641,Richard Middleton,The Ghost Ship,b'11045-8.txt',1912
7626,Nellie McClung,The Black Creek Stopping-House,b'10164-8.txt',1912
4554,Charles Morris,"Historical Tales, Vol 5 (of 15)",b'16587-8.txt',1893
7412,"John Fox, Jr.",Crittenden,b'18318-8.txt',1911
7894,Alice Hegan Rice,The Honorable Percival,b'15180-8.txt',1914
2350,Various,"The Continental Monthly, Vol. III, No. V,  May, 1863",b'19099-8.txt',1863
4687,Frank R. Stockton,Pomona's Travels,b'12460-8.txt',1894
9777,Joris-Karl Huysmans,Against The Grain,b'12341.txt',1922
5735,William J. Long,Secret of the Woods,b'1901.txt',1901
8846,Coningsby Dawson,Out To Win,b'15194-8.txt',1918
5080,Michael Clarke,The Story of Troy,b'16990-0.txt',1897
2289,John Alexander Logan,"The Great Conspiracy, Part 5",b'7137.txt',1862
6306,Hugh McHugh,Get Next!,b'12608.txt',1905
1673,Unknown,The Lady's Album of Fancy Work for 1850,b'12642-8.txt',1850
9401,Various,"Punch, or the London Charivari, Vol. 158, January 14, 1920",b'16107-8.txt',1920
9245,Aylward Edward Dingle,Gold Out of Celebes,b'25917.txt',1920
1094,Charles Butler,The Life of Hugo Grotius,b'14037-8.txt',1826
4503,Various,"Punch, or the London Charivari, Vol. 102, June 4, 1892",b'14652-8.txt',1892
9392,Thornton W. Burgess,The Adventures of Old Mr. Toad,b'12630.txt',1920
9263,Dillon Wallace,Troop One of the Labrador,b'16048.txt',1920
8517,Nikolai Velimirovic,The Religious Spirit of the Slavs (1916),b'13388-0.txt',1916
2521,Baha'u'llah,Tablets of Baha'u'llah Revealed after the Kitab-i-Aqdas,b'17310.txt',1866
4886,Burt L. Standish,Frank Merriwell's Chums,b'19502.txt',1896
5152,Amy Le Feuvre,His Big Opportunity,b'11470-8.txt',1898
5341,Henry Theophilus Finck,Primitive Love and Love-Stories,b'11934-8.txt',1899
6348,Sara Cone Bryant,How to Tell Stories to Children,b'474-8.txt',1905
3022,Mark Twain (Samuel Clemens),"Following the Equator, Part 5",b'5812.txt',1876
8879,Harriot Stanton Blatch,Mobilizing Woman-Power,b'10080-8.txt',1918
1568,Charles W. Whistler,Wulfric the Weapon Thane,b'13752.txt',1848
6653,Yogi Ramacharaka,A Series of Lessons in Gnani Yoga,b'13407.txt',1907
1054,Octave Feuillet,"Monsieur de Camors, Complete",b'3946.txt',1821
9206,Vicente Blasco Ibanez,Mare Nostrum (Our Sea),b'11697.txt',1919
5986,Mrs. John Van Vorst and Marie Van Vorst,The Woman Who Toils,b'15218-8.txt',1903
8566,Alexander Ostrovsky,Plays,b'10722-8.txt',1917
6519,Annie  Besant,London Lectures of 1907,b'20800-0.txt',1907
7736,Eleanor Hallowell Abbott,The White Linen Nurse,b'14506.txt',1913
2051,Anonymous,Goody Two-Shoes,b'13675-8.txt',1858
3362,James Constantine Pilling,Catalogue Of Linguistic Manuscripts In The Library Of The Bureau Of Ethnology. (1881 N 01 / 1879-1880 (Pages 553-578)),b'17262-0.txt',1881
494,Jacques Casanova de Seingalt,In London And Moscow: Russia and Poland,b'2975.txt',1731
4794,Ian Maclaren,"A Doctor of the Old School, Part 2",b'9316.txt',1895
3682,George Field,Field's Chromatography,b'20915-8.txt',1885
20,Dante Alighieri,"The Vision of Purgatory, Part 4",b'8793.txt',1484
2869,Sutherland Menzies,Political Women (Vol. 1 of 2),b'27192-8.txt',1873
6160,John Maurice Miller,Philippine Folklore Stories,b'10771-8.txt',1904
3386,Various,"Harper's Young People, October 11, 1881",b'49392.txt',1881
6511,A. E. W. Mason,The Broken Road ,b'10755-8.txt',1907
774,Compiled by Edwin Partridge Lehman and Julian Park,A Williams Anthology,b'11658.txt',1798
4864,Various,"The Brochure Series of Architectural Illustration, Volume 01, No. 08, August 1895",b'19769-8.txt',1895
3008,Henry Wadsworth Longfellow,The Complete Poetical Works of Henry Wadsworth Longfellow,b'1365.txt',1876
4132,Annie Besant,"The Freethinker's Text Book, Part II.",b'13349-8.txt',1890
5516,John Marshall,"The Life of George Washington, Vol. 3 (of 5)",b'18593-8.txt',1900
7122,Cyrus Townsend Brady,South American Fights and Fighters,b'20910-8.txt',1910
8577,Anna Katharine Green,The Mystery of the Hasty Arrow,b'17763-8.txt',1917
2831,Edward H. Clarke,Sex in Education,b'18504-8.txt',1873
9795,Manuel Eduardo  De Gorostiza,Contigo Pan y Cebolla,b'12368-8.txt',1922
5272,Amy E. Blanchard,A Sweet Little Maid,b'19025.txt',1899
1928,Frederick Douglass,My Bondage and My Freedom,b'202.txt',1855
5548,R. E. Sanderson,The Life of the Waiting Soul,b'21881.txt',1900
2060,Anonymous,"A Selection of Books published by Methuen and Co. Ltd., London, 36, Essex Street, W.C",b'17247-8.txt',1858
3195,George P. Goff,Nick Baba's Last Drink and Other Sketches,b'18509.txt',1879
6369,Will Lillibridge,Ben Blair,b'17844-8.txt',1905
2810,John Ruskin,Ariadne Florentina,b'27268-8.txt',1872
3015,Juliana Horatia Gatty Ewing,Brothers of Pity and Other Tales of Beasts and Men,b'16121-8.txt',1876
2400,Various,Hymns from the German,b'39439-0.txt',1864
9970,The National Atomic Museum,Trinity [Atomic Test] Site,b'277.txt',1945
9226,Andrew Carnegie,Autobiography of Andrew Carnegie,b'17976-8.txt',1920
5271,Allen Raine,Garthowen,b'18778-8.txt',1899
8692,Laura Rountree Smith,Snubby Nose and Tippy Toes,b'10329.txt',1917
756,James Hutton,"Theory of the Earth, Volume 1 (of 4)",b'12861-8.txt',1795
2697,L. Muehlbach,Queen Hortense,b'12019.txt',1870
490,Isaac Newton,"Observations upon the Prophecies of Daniel, and the Apocalypse of St. John",b'16878-8.txt',1730
712,Arthur Phillip,The Voyage Of Governor Phillip To Botany Bay,b'15100-8.txt',1789
10035,William Fitzgerald Jenkins,Operation Terror,b'17870.txt',1957
9423,Various,"Punch, or the London Charivari, Vol. 159, July 21, 1920",b'17596-8.txt',1920
4264,Anna Katharine Green,The Old Stone House and Other Stories,b'21824-8.txt',1891
7881,William N. Brown,Handbook on Japanning: 2nd Edition,b'15622-8.txt',1913
1825,Various,"Chambers's Edinburgh Journal, No. 419, New Series, January 10, 1852",b'14502-8.txt',1852
8424,Harold Bell Wright,When A Man's A Man,b'14367-8.txt',1916
7421,Julian Stafford Corbett,Some Principles of Maritime Strategy,b'15076-8.txt',1911
6890,Harold Harvey,A Soldier's Sketches Under Fire,b'16056-8.txt',1909
5603,,"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1",b'15474.txt',1900
5078,Maud Petitt,Beth Woodburn,b'16343-8.txt',1897
4294,H. Rider Haggard,Nada the Lily,b'1207.txt',1891
6751,Kenneth Grahame,The Wind in the Willows,b'289.txt',1908
56,Raphael Holinshed,Chronicles 1 (of 6): The Historie of England 5 (of 8),b'16555-8.txt',1570
8287,Various,"The New York Times Current History of the European War, Vol 1, Issue 4, January 23, 1915",b'16363-8.txt',1915
5913,Ernest Thompson Seton,Two Little Savages,b'13499-8.txt',1903
1346,Honore de Balzac,A Distinguished Provincial at Paris,b'1559.txt',1839
8969,Various,"The Journal of Negro History, Volume 3, 1918",b'20906-8.txt',1918
8161,Elizabeth Gray Potter and Mabel Thayer Gray,The Lure of San Francisco,b'11507-8.txt',1915
2548,P. H. Sheridan,"The Memoirs of General Philip H. Sheridan, Vol. II., Part 4",b'5857.txt',1866
6639,W.J. Marx,For The Admiral,b'13979-8.txt',1907
9427,Various,"Punch, or the London Charivari, Volume 159, November 10, 1920",b'18114-8.txt',1920
2732,Edward Bulwer Lytton,The Coming Race,b'1951.txt',1871
1790,Various,"Notes and Queries, Vol. IV, Number 112, December 20, 1851",b'39438-0.txt',1851
2979,Various,"The Nursery, Volume 17, No. 100, April, 1875",b'14170.txt',1875
2653,R. D. Blackmore,Lorna Doone,b'17460-8.txt',1869
8229,Leonard P. Ayres and May Ayres,Health Work in the Public Schools,b'19701-8.txt',1915
2426,Anonymous,"Vanity, All Is Vanity",b'18935.txt',1865
730,John Hamilton Moore,"The Young Gentleman and Lady's Monitor, and English Teacher's Assistant",b'13588-8.txt',1791
4313,Joseph Addison and Richard Steele,"The Spectator, Volumes 1, 2 and 3",b'12030-8.txt',1891
1159,Sir Walter Scott,Letters On Demonology And Witchcraft,b'14461-8.txt',1830
7491,Anatole France,The Aspirations of Jean Servien,b'11060-8.txt',1912
6307,Inazo Nitobe,"Bushido, the Soul of Japan",b'12096.txt',1905
45,Thomas More,Dialogue of Comfort Against Tribulation,b'17075-8.txt',1553
6612,R.A. Streatfeild,The Opera,b'16248-8.txt',1907
2059,Anonymous,"Elene; Judith; Athelstan, or the Fight at Brunanburh; Byrhtnoth, or the Fight at Maldon; and the Dream of the Rood",b'15879-8.txt',1858
7482,Ada Leverson,Tenterhooks,b'10021-8.txt',1912
36,Nicolo Machiavelli,The Prince,b'1232.txt',1532
574,David Hume,"The History of England in Three Volumes, Vol.I., Part B.",b'19212-8.txt',1762
2055,Anonymous,Mother Stories from the Old Testament,b'17162.txt',1858
2157,Various,"Atlantic Monthly, Volume 3, No. 19, May, 1859",b'11727-8.txt',1859
5432,Arthur W. Pinero,The Gay Lord Quex,b'15744-8.txt',1900
248,Samuel Pepys,"Diary of Samuel Pepys, July/August 1662",b'4135.txt',1662
2093,Gustav Freytag,Debit and Credit,b'19754-8.txt',1858
7474,Zane Grey,The Young Pitcher,b'19246-8.txt',1911
4340,Various,"Punch, Or The London Charivari, Vol. 100., January 3, 1891.",b'12860-8.txt',1891
7582,Jane Addams,A New Conscience And An Ancient Evil,b'15221-8.txt',1912
8611,D. A. Clippinger,The Head Voice and Other Problems,b'19493-8.txt',1917
7238,L. Frank Baum,The Emerald City of Oz,b'517.txt',1910
6593,Kate Dickinson Sweetser,Boys and girls from Thackeray ,b'10111-8.txt',1907
7854,Ring W. Lardner,Treat 'em Rough,b'16929.txt',1913
8218,Joseph A. Altsheler,The Forest of Swords,b'15760-8.txt',1915
3732,Various,"The Bay State Monthly, Volume 3, No. 3",b'17723-8.txt',1885
3582,Bret Harte,Urban Sketches,b'2598.txt',1884
808,George Eliot,Scenes of Clerical Life,b'17780.txt',1800
4768,Frances E. W. Harper,Poems,b'679-8.txt',1895
5573,Theodore Roosevelt,Hunting the Grisly and Other Sketches,b'3337.txt',1900
2759,Louisa M. Alcott,Aunt Jo's Scrap-Bag,b'26041-8.txt',1871
5210,Johann Wolfgang von Goethe,Iphigenia in Tauris,b'15850-0.txt',1898
3892,Bret Harte,Frontier Stories,b'12419-8.txt',1887
2269,Abraham Lincoln,"The Papers And Writings Of Abraham Lincoln, Volume Six",b'2658.txt',1862
1152,Humphrey Davy,Consolations in Travel,b'17882.txt',1830
979,Elizabeth Cady Stanton,Eighty Years And More; Reminiscences 1815-1897,b'11982-8.txt',1815
8921,Montague Massey,Recollections of Calcutta for over Half a Century,b'12617-8.txt',1918
8700,Marjorie Douie,The Pointing Man,b'14049-8.txt',1917
8005,Leona Dalrymple,Uncle Noah's Christmas Inspiration,b'15826.txt',1914
9742,Harry Kemp,Tramping on Life,b'15415-8.txt',1922
2879,Various,"Lippincott's Magazine of Popular Literature and Science, Vol. 11,",b'14327-8.txt',1873
6978,Various,Golden Stories,b'19356-8.txt',1909
4436,George Meredith,"The Tragic Comedians, Complete",b'4464.txt',1892
1075,Mary Randolph,The Virginia Housewife,b'12519.txt',1824
2063,Anonymous,Punky Dunk and the Spotted Pup,b'19366.txt',1858
183,Francis Beaumont and John Fletcher,"A King, and No King",b'12312.txt',1625
401,Anthony Hamilton,"The Memoirs of Count Grammont, Volume 5",b'5413.txt',1713
327,Hannah Wolley,The Queen-like Closet or Rich Cabinet,b'14377-8.txt',1672
5936,Henry David Thoreau,On the Duty of Civil Disobedience,b'71.txt',1903
2655,R.M. Ballantyne,Digging for Gold,b'21727.txt',1869
881,Charles James Lever,"The Confessions of Harry Lorrequer, Vol. 1",b'5234.txt',1806
9137,Meredith Nicholson,Lady Larkspur,b'19204-8.txt',1919
8773,Various,"Punch, or the London Charivari, Vol. 152,  February 28, 1917",b'14639-8.txt',1917
5912,Emerson Hough,Heart's Desire,b'15159-8.txt',1903
3824,Various,Memoirs And Historical Chronicles Of The Courts Of Europe,b'12967-8.txt',1886
5520,Josephine Elizabeth Butler,Native Races and the War,b'14299-8.txt',1900
2671,William Dean Howells,My Mark Twain,b'3390.txt',1869
771,Matilda Betham,Elegies and Other Small Poems,b'11193-8.txt',1797
6864,Frank V. Webster,The Young Treasure Hunter,b'20922.txt',1909
2420,Anonymous,Food and Health,b'16977.txt',1865
4251,Various,"American Missionary, Volume 44, No. 6, June, 1890",b'16036-8.txt',1890
609,,,b'36.txt',1770
10126,Cory Doctorow,Craphound,b'17026.txt',1998
6575,Harold Bindloss,Winston of the Prairie,b'14763.txt',1907
7506,Brander Matthews,Vistas of New York,b'39434-8.txt',1912
6123,Elizabeth Miller,The Yoke,b'16583-8.txt',1904
292,Samuel Pepys,"Diary of Samuel Pepys, January 1966/67",b'4172.txt',1667
4380,Various,"Scientific American Supplement, No. 787, January 31, 1891",b'14009-8.txt',1891
5390,Sutton E. Griggs,Imperium in Imperio: A Study Of The Negro Race Problem,b'15454-8.txt',1899
3855,Various,Stories By English Authors: Germany,b'2071.txt',1886
5169,Ernest Alfred Vizetelly,With Zola in England,b'10670.txt',1898
7529,Earl Barnes,Woman in Modern Society,b'15691-8.txt',1912
8580,Annie Fellows Johnston,Two Little Knights of Kentucky,b'12317.txt',1917
6571,Gilbert Parker,"Donovan Pasha And Some People Of Egypt, Complete",b'6260.txt',1907
7987,Jane L. Stewart,The Camp Fire Girls on the Farm,b'15726.txt',1914
7161,Frederick Lawton,Balzac,b'3822.txt',1910
8933,R. Derby Holmes,A Yankee in the Trenches,b'13279-8.txt',1918
5158,Charles Major,When Knighthood Was in Flower,b'17498-8.txt',1898
3758,F. Edward Hulme,Myth-Land,b'45671-8.txt',1886
1205,Honore de Balzac,La Grande Breteche,b'1710.txt',1832
5485,George Ludington Weed,A Life of St. John for the Young,b'17166-8.txt',1900
1372,Edward Bulwer-Lytton,"Paul Clifford, Complete",b'7735.txt',1840
3481,Unknown,The Ladies' Work-Book,b'16605-8.txt',1883
9436,Various,"Punch, or the London Charivari, Vol. 158, April 7, 1920",b'22905-8.txt',1920
9014,Camilla Kenyon,Spanish Doubloons,b'12639.txt',1919
9885,John Marshall,"The Life of George Washington, Vol. 2 (of 5)",b'18592-8.txt',1926
7074,William James,A Pluralistic Universe,b'11984-8.txt',1909
201,John Wilkins,The Discovery of a World in the Moone,b'19103-0.txt',1638
4249,Various,"The American Missionary, Vol. 44, No. 5, May 1890",b'15647.txt',1890
3032,Mark Twain (Samuel Clemens),"Adventures of Huckleberry Finn, Part 6",b'7105.txt',1876
3782,John Ashton,The Dawn of the XIXth Century in England,b'49406-0.txt',1886
10014,Carey Rockwell,The Revolt on Venus,b'19027-8.txt',1954
4018,Oliver Optic,Taken by the Enemy,b'18579.txt',1888
4168,Horatio Alger,The Young Outlaw,b'26016.txt',1890
3741,Amelia E. Barr,The Bow of Orange Ribbon,b'17173-8.txt',1886
9685,Dillon Wallace,The Story of Grenfell of the Labrador,b'16809.txt',1922
1702,Various,"Notes & Queries, No. 50. Saturday, October 12, 1850",b'13551-8.txt',1850
3071,Mark Twain (Samuel Clemens),"Eve's Diary, Part 1",b'8526.txt',1876
762,Amelia Simmons,American Cookery,b'12815-8.txt',1796
1668,Theodore Thinker,"Jack Mason, The Old Sailor",b'11105.txt',1850
7156,Francis Rolt-Wheeler,The Boy With the U. S. Foresters,b'18874-8.txt',1910
380,,,b'22.txt',1700
8821,Albert Walter Tolman,"Jim Spurling, Fisherman",b'26560-8.txt',1918
8805,Walter Kellogg Towers,Masters of Space,b'12375-8.txt',1917
7390,Henry H. Vail,A History of the McGuffey Readers,b'15577.txt',1911
522,The Earl of Chesterfield,"Letters to His Son, 1746-1747",b'3351.txt',1746
9393,Thornton W. Burgess,Mother West Wind 'Why' Stories,b'14958.txt',1920
4740,Anatole France,"The Red Lily, Complete",b'3922.txt',1895
4305,J. R. Miller,Making the Most of Life,b'19193.txt',1891
505,Jonathan Swift,"The Prose Works of Jonathan Swift, Vol. VI; The Drapier's Letters",b'12784-8.txt',1739
8980,William Heyliger,"Don Strong, Patrol Leader",b'13898.txt',1918
641,S. A. Reilly,Our Legal Heritage,b'13376.txt',1776
7085,"Alexandre Dumas, Pere",Urbain Grandier,b'2746.txt',1910
8383,E. Phillips Oppenheim,The Kingdom of the Blind,b'1442.txt',1916
3180,Various,"St. Nicholas Magazine for Boys and Girls, Vol. 5, July 1878, No. 9",b'21898-8.txt',1878
2857,Mark Twain (Samuel Clemens) and Charles Dudley Warner,"The Gilded Age, Part 4.",b'5821.txt',1873
6999,W.W. Jacobs,The Toll-House,b'10787.txt',1909
9328,Johannes Linnankoski,The Song Of The Blood-Red Flower,b'12935.txt',1920
5490,H. H. S. Pearse,Four Months Besieged,b'16466-8.txt',1900
5409,A. A. Milne,The Sunny Side,b'13441-8.txt',1900
523,The Earl of Chesterfield,The PG Edition of Chesterfield's Letters to His Son,b'3361.txt',1746
6486,Robert Naylor and John Naylor,From John O'Groats to Land's End,b'14415-8.txt',1906
3861,Various,Sacred Hymns from the German,b'39440-0.txt',1886
8973,Walter Raleigh,England and the War,b'10159-8.txt',1918
2138,G. L. Apperson,The Social History of Smoking,b'18096-0.txt',1859
5556,Rosa Mulholland,The Late Miss Hollingford,b'18991-8.txt',1900
5399,W. D. Lighthall,Hochelagans and Mohawks,b'14777-8.txt',1899
1693,Various,"Notes & Queries, No. 43, Saturday, August 24, 1850",b'13406-8.txt',1850
3466,R. V. Pierce,The People's Common Sense Medical Adviser in Plain English,b'18467-8.txt',1883
1981,John Beauchamp Jones,Wild Western Scenes,b'13077-8.txt',1856
7119,Claude Fayette Bragdon,The Beautiful Necessity,b'12648-8.txt',1910
34,Hugh Latimer,Sermons on the Card and Other Discourses,b'2458.txt',1530
3932,Mary Baker  Eddy,Unity of Good,b'16591.txt',1887
9935,Charles Georges Souli,Eastern Shame Girl,b'12086.txt',1935
9937,Orrie Lashin and Milo Hastings,Class of '29,b'17061.txt',1936
4497,Various,"Punch, or the London Charivari, Vol. 102, April 16, 1892",b'14452-8.txt',1892
1721,Various,"Notes and Queries, Number 55, November 16, 1850",b'15216-8.txt',1850
2216,Various,"Atlantic Monthly, Volume 6, Issue 35, September, 1860",b'11087-8.txt',1860
4659,Algernon Charles Swinburne,Astrophel and Other Poems,b'18673-8.txt',1894
4456,James W. Sullivan,Direct Legislation by the Citizenship through the Initiative and Referendum,b'17751-8.txt',1892
3627,R.M. Ballantyne,The Young Trawler,b'21713.txt',1884
4468,Olive Thorne Miller,Little Brothers of the Air,b'27277-8.txt',1892
5619,August D. Luckhoff,Woman's Endurance,b'16859-8.txt',1901
7598,Kate Langley Bosher,The Man in Lonely Land,b'12971.txt',1912
